Date,Price
1988-08-01,0.8655
1988-08-02,0.86
1988-08-03,0.868
1988-08-04,0.878
1988-08-05,0.887
1988-08-08,0.871
1988-08-09,0.876
1988-08-10,0.8875
1988-08-11,0.901
1988-08-12,0.8835
1988-08-15,0.888
1988-08-16,0.888
1988-08-17,0.894
1988-08-18,0.917
1988-08-19,0.919
1988-08-22,0.935
1988-08-23,0.9265
1988-08-24,0.933
1988-08-25,0.94
1988-08-26,0.947
1988-08-29,0.9465
1988-08-30,0.947
1988-08-31,0.954
1988-09-01,0.933
1988-09-02,0.928
1988-09-06,0.926
1988-09-07,0.9315
1988-09-08,0.9355
1988-09-09,0.9485
1988-09-12,0.948
1988-09-13,0.958
1988-09-14,0.957
1988-09-15,0.972
1988-09-16,0.956
1988-09-19,0.956
1988-09-20,0.953
1988-09-21,0.941
1988-09-22,0.961
1988-09-23,0.97
1988-09-26,0.9685
1988-09-27,0.982
1988-09-28,0.973
1988-09-29,0.982
1988-09-30,0.9745
1988-10-03,0.9875
1988-10-04,0.9885
1988-10-05,0.9915
1988-10-06,1.0115
1988-10-07,1.015
1988-10-10,1.0365
1988-10-11,1.0505
1988-10-12,1.0475
1988-10-13,1.0525
1988-10-14,1.0965
1988-10-17,1.079
1988-10-18,1.1
1988-10-19,1.1255
1988-10-20,1.149
1988-10-21,1.143
1988-10-24,1.11
1988-10-25,1.123
1988-10-26,1.107
1988-10-27,1.113
1988-10-28,1.133
1988-10-31,1.143
1988-11-01,1.1565
1988-11-02,1.1705
1988-11-03,1.1365
1988-11-04,1.1395
1988-11-07,1.1245
1988-11-08,1.1405
1988-11-09,1.1675
1988-11-10,1.1075
1988-11-11,1.1085
1988-11-14,1.1225
1988-11-15,1.0795
1988-11-16,1.0855
1988-11-17,1.1125
1988-11-18,1.1225
1988-11-21,1.1175
1988-11-22,1.1375
1988-11-23,1.2075
1988-11-28,1.2375
1988-11-29,1.2525
1988-11-30,1.2675
1988-12-01,1.2815
1988-12-02,1.2645
1988-12-05,1.2745
1988-12-06,1.2875
1988-12-07,1.413
1988-12-08,1.44
1988-12-09,1.431
1988-12-12,1.392
1988-12-13,1.3325
1988-12-14,1.3695
1988-12-15,1.3545
1988-12-16,1.332
1988-12-19,1.3835
1988-12-20,1.3975
1988-12-21,1.3935
1988-12-22,1.4035
1988-12-23,1.4355
1988-12-27,1.424
1988-12-28,1.4115
1988-12-29,1.4145
1988-12-30,1.3975
1989-01-03,1.4095
1989-01-04,1.4685
1989-01-05,1.4525
1989-01-06,1.4025
1989-01-09,1.3905
1989-01-10,1.3935
1989-01-11,1.3905
1989-01-12,1.424
1989-01-13,1.471
1989-01-16,1.5255
1989-01-17,1.533
1989-01-18,1.5135
1989-01-19,1.5125
1989-01-20,1.519
1989-01-23,1.538
1989-01-24,1.518
1989-01-25,1.4885
1989-01-26,1.474
1989-01-27,1.505
1989-01-30,1.369
1989-01-31,1.365
1989-02-01,1.357
1989-02-02,1.3415
1989-02-03,1.318
1989-02-06,1.2925
1989-02-07,1.304
1989-02-08,1.328
1989-02-09,1.329
1989-02-10,1.2975
1989-02-13,1.2565
1989-02-14,1.2425
1989-02-15,1.2565
1989-02-16,1.2745
1989-02-17,1.2645
1989-02-21,1.3475
1989-02-22,1.3765
1989-02-23,1.365
1989-02-24,1.3425
1989-02-27,1.338
1989-02-28,1.352
1989-03-01,1.413
1989-03-02,1.4325
1989-03-03,1.4695
1989-03-06,1.4525
1989-03-07,1.47
1989-03-08,1.432
1989-03-09,1.41
1989-03-10,1.439
1989-03-13,1.388
1989-03-14,1.408
1989-03-15,1.375
1989-03-16,1.356
1989-03-17,1.389
1989-03-20,1.3535
1989-03-21,1.368
1989-03-22,1.371
1989-03-23,1.363
1989-03-27,1.397
1989-03-28,1.394
1989-03-29,1.384
1989-03-30,1.289
1989-03-31,1.285
1989-04-03,1.256
1989-04-04,1.268
1989-04-05,1.275
1989-04-06,1.283
1989-04-07,1.311
1989-04-10,1.387
1989-04-11,1.381
1989-04-12,1.404
1989-04-13,1.39
1989-04-14,1.426
1989-04-17,1.3985
1989-04-18,1.39
1989-04-19,1.372
1989-04-20,1.365
1989-04-21,1.367
1989-04-24,1.391
1989-04-25,1.3885
1989-04-26,1.392
1989-04-27,1.386
