"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2008","3.6965","3.8375","3.8610","3.6840","20.86K","-3.96%"
"07/07/2008","3.8490","3.8745","3.9000","3.8030","15.01K","-2.53%"
"07/03/2008","3.9490","4.0235","4.0450","3.9260","15.83K","-2.82%"
"07/02/2008","4.0635","3.8940","4.0800","3.8775","22.95K","3.91%"
"07/01/2008","3.9105","3.8695","3.9245","3.8500","8.34K","0.72%"
"06/30/2008","3.8825","3.8800","3.9130","3.8325","12.24K","0.12%"
"06/27/2008","3.8780","3.8250","3.8850","3.8070","13.13K","1.28%"
"06/26/2008","3.8290","3.8000","3.8610","3.7960","0.13K","1.42%"
"06/25/2008","3.7755","3.7630","3.8080","3.7485","0.08K","-0.32%"
"06/24/2008","3.7875","3.7915","3.8025","3.7775","0.06K","-0.56%"
"06/23/2008","3.8090","3.7820","3.8140","3.7735","0.14K","-0.59%"
"06/20/2008","3.8315","3.7680","3.8400","3.7680","0.21K","1.39%"
"06/19/2008","3.7790","3.7470","3.8015","3.7470","0.61K","0.84%"
"06/18/2008","3.7475","3.6510","3.7600","3.6510","0.15K","2.67%"
"06/17/2008","3.6500","3.6285","3.6695","3.6285","0.40K","-0.41%"
"06/16/2008","3.6650","3.5875","3.6985","3.5875","0.17K","2.09%"
"06/13/2008","3.5900","3.5550","3.6120","3.5405","0.23K","1.44%"
"06/12/2008","3.5390","3.5700","3.5825","3.5100","0.13K","-1.15%"
"06/11/2008","3.5800","3.5560","3.5920","3.5560","0.04K","0.51%"
"06/10/2008","3.5620","3.6110","3.6110","3.5560","0.25K","-1.44%"
"06/09/2008","3.6140","3.6405","3.6645","3.5860","0.20K","-0.29%"
"06/06/2008","3.6245","3.5705","3.6605","3.5705","0.09K","2.26%"
"06/05/2008","3.5445","3.5350","3.5550","3.5155","0.23K","-0.03%"
"06/04/2008","3.5455","3.5670","3.5750","3.5450","0.10K","-0.95%"
"06/03/2008","3.5795","3.5870","3.5995","3.5645","0.17K","-0.51%"
"06/02/2008","3.5980","3.5700","3.6060","3.5595","0.26K","-0.22%"
"05/30/2008","3.6060","3.5715","3.6125","3.5650","0.16K","1.29%"
"05/29/2008","3.5600","3.6830","3.6830","3.5555","0.14K","-3.65%"
"05/28/2008","3.6950","3.7290","3.7295","3.6365","12.68K","-0.57%"
"05/27/2008","3.7160","3.7455","3.7500","3.6875","8.70K","-0.54%"
