Date,Price,Open,High,Low,Vol.,Change %
2008-07-07,3.849,3.8745,3.9,3.803,15.01K,-2.53%
2008-07-03,3.949,4.0235,4.045,3.926,15.83K,-2.82%
2008-07-02,4.0635,3.894,4.08,3.8775,22.95K,3.91%
2008-07-01,3.9105,3.8695,3.9245,3.85,8.34K,0.72%
2008-06-30,3.8825,3.88,3.913,3.8325,12.24K,0.12%
2008-06-27,3.878,3.825,3.885,3.807,13.13K,1.28%
2008-06-26,3.829,3.8,3.861,3.796,0.13K,1.42%
2008-06-25,3.7755,3.763,3.808,3.7485,0.08K,-0.32%
2008-06-24,3.7875,3.7915,3.8025,3.7775,0.06K,-0.56%
2008-06-23,3.809,3.782,3.814,3.7735,0.14K,-0.59%
2008-06-20,3.8315,3.768,3.84,3.768,0.21K,1.39%
2008-06-19,3.779,3.747,3.8015,3.747,0.61K,0.84%
2008-06-18,3.7475,3.651,3.76,3.651,0.15K,2.67%
2008-06-17,3.65,3.6285,3.6695,3.6285,0.40K,-0.41%
2008-06-16,3.665,3.5875,3.6985,3.5875,0.17K,2.09%
2008-06-13,3.59,3.555,3.612,3.5405,0.23K,1.44%
2008-06-12,3.539,3.57,3.5825,3.51,0.13K,-1.15%
2008-06-11,3.58,3.556,3.592,3.556,0.04K,0.51%
2008-06-10,3.562,3.611,3.611,3.556,0.25K,-1.44%
2008-06-09,3.614,3.6405,3.6645,3.586,0.20K,-0.29%
2008-06-06,3.6245,3.5705,3.6605,3.5705,0.09K,2.26%
2008-06-05,3.5445,3.535,3.555,3.5155,0.23K,-0.03%
2008-06-04,3.5455,3.567,3.575,3.545,0.10K,-0.95%
2008-06-03,3.5795,3.587,3.5995,3.5645,0.17K,-0.51%
2008-06-02,3.598,3.57,3.606,3.5595,0.26K,-0.22%
2008-05-30,3.606,3.5715,3.6125,3.565,0.16K,1.29%
2008-05-29,3.56,3.683,3.683,3.5555,0.14K,-3.65%
2008-05-28,3.695,3.729,3.7295,3.6365,12.68K,-0.57%
2008-05-27,3.716,3.7455,3.75,3.6875,8.70K,-0.54%
2008-05-23,3.736,3.7035,3.745,3.6485,8.46K,0.63%
2008-05-22,3.7125,3.741,3.7895,3.6605,12.70K,-0.85%
2008-05-21,3.7445,3.7685,3.781,3.721,9.28K,-0.85%
2008-05-20,3.7765,3.7725,3.8005,3.731,10.27K,0.03%
2008-05-19,3.7755,3.836,3.858,3.7425,9.75K,-1.33%
2008-05-16,3.8265,3.7405,3.8595,3.7395,12.95K,2.35%
2008-05-15,3.7385,3.678,3.7725,3.6665,12.26K,1.56%
2008-05-14,3.681,3.7325,3.7435,3.6525,9.80K,-1.35%
2008-05-13,3.7315,3.7465,3.793,3.7085,10.11K,-0.48%
2008-05-12,3.7495,3.712,3.775,3.6855,10.94K,0.89%
2008-05-09,3.7165,3.796,3.8,3.6775,12.47K,-1.87%
2008-05-08,3.7875,3.8395,3.851,3.753,9.59K,-1.21%
2008-05-07,3.834,3.8795,3.885,3.8165,8.91K,-1.15%
2008-05-06,3.8785,3.942,3.942,3.8325,11.01K,-1.75%
2008-05-05,3.9475,3.828,4.2605,3.82,19.52K,3.32%
2008-05-02,3.8205,3.724,3.8525,3.7,14.34K,3.41%
2008-05-01,3.6945,3.9075,3.93,3.6675,24.64K,-5.38%
2008-04-30,3.9045,3.8895,3.927,3.8455,9.45K,0.61%
2008-04-29,3.881,3.918,3.93,3.851,11.77K,-1.35%
2008-04-28,3.934,3.9295,3.945,3.906,0.47K,0.49%
2008-04-25,3.915,3.873,3.928,3.8115,0.31K,1.01%
2008-04-24,3.876,3.8945,3.915,3.867,0.46K,-0.69%
2008-04-23,3.903,3.9555,3.972,3.879,0.40K,-1.45%
2008-04-22,3.9605,3.897,3.98,3.897,0.29K,2.43%
2008-04-21,3.8665,3.8795,3.89,3.8525,0.13K,-0.62%
2008-04-18,3.8905,3.9165,3.946,3.816,0.10K,-0.58%
2008-04-17,3.913,3.945,4.036,3.909,0.13K,-1.07%
2008-04-16,3.9555,3.837,4.006,3.837,0.60K,2.50%
2008-04-15,3.859,3.9,3.909,3.845,0.03K,-0.96%
2008-04-14,3.8965,3.943,3.943,3.85,0.10K,-1.19%
