Date,Price,Open,High,Low,Vol.,Change %
08/28/2023,3.788,3.8022,3.8288,3.78,,-0.39%
08/27/2023,3.8027,3.7887,3.8057,3.7887,,0.49%
08/25/2023,3.784,3.789,3.829,3.7655,44.88K,-0.25%
08/24/2023,3.7935,3.8365,3.839,3.786,36.27K,-1.15%
08/23/2023,3.8375,3.79,3.8425,3.7885,42.18K,1.29%
08/22/2023,3.7885,3.7565,3.8095,3.7515,42.54K,1.88%
08/21/2023,3.7185,3.716,3.7305,3.6845,59.30K,0.34%
08/18/2023,3.706,3.688,3.7215,3.6645,54.52K,0.39%
08/17/2023,3.6915,3.6475,3.7195,3.627,73.41K,0.93%
08/16/2023,3.6575,3.66,3.694,3.642,69.28K,-0.27%
08/15/2023,3.6675,3.727,3.749,3.656,83.18K,-1.56%
08/14/2023,3.7255,3.7185,3.742,3.687,73.51K,0.17%
08-11-23,3.719,3.755,3.7675,3.695,95.10K,-1.22%
08-10-23,3.765,3.7875,3.8315,3.7465,81.24K,-0.49%
08-09-23,3.7835,3.7795,3.827,3.7635,85.71K,0.45%
08-08-23,3.7665,3.842,3.842,3.7265,138.60K,-1.79%
08-07-23,3.835,3.852,3.877,3.825,70.87K,-0.84%
08-04-23,3.8675,3.8995,3.928,3.8255,79.91K,-0.82%
08-03-23,3.8995,3.8445,3.904,3.8205,81.96K,1.46%
08-02-23,3.8435,3.91,3.921,3.834,89.27K,-1.66%
08-01-23,3.9085,4.0155,4.024,3.904,109.74K,-2.48%
07/31/2023,4.008,3.93,4.017,3.908,115.17K,2.08%
07/28/2023,3.9265,3.848,3.934,3.844,60.86K,1.32%
07/27/2023,3.8755,3.905,3.9435,3.838,76.40K,-0.68%
07/26/2023,3.902,3.9265,3.9265,3.8765,65.16K,-0.34%
07/25/2023,3.9155,3.8485,3.9415,3.8445,85.94K,1.56%
07/24/2023,3.8555,3.8185,3.8605,3.782,,0.98%
07/21/2023,3.818,3.828,3.874,3.809,,-0.43%
07/20/2023,3.8345,3.8155,3.8885,3.811,69.44K,0.54%
07/19/2023,3.814,3.833,3.8385,3.781,55.19K,-0.40%
07/18/2023,3.8295,3.843,3.8545,3.803,61.15K,-0.38%
07/17/2023,3.844,3.927,3.927,3.8115,79.08K,-2.26%
07/14/2023,3.933,3.953,3.954,3.9035,78.20K,-0.18%
07/13/2023,3.94,3.854,3.953,3.842,103.64K,2.26%
07-12-23,3.853,3.7725,3.8605,3.7665,77.86K,2.31%
07-11-23,3.766,3.789,3.8225,3.752,64.23K,-0.49%
07-10-23,3.7845,3.782,3.799,3.7425,46.99K,0.07%
07-07-23,3.782,3.7425,3.7875,3.7255,52.20K,1.27%
07-06-23,3.7345,3.7615,3.776,3.7225,60.47K,-0.90%
07-05-23,3.7685,3.7935,3.8095,3.7325,70.90K,-0.42%
07-04-23,3.7843,3.7915,3.8093,3.775,,-0.26%
07-03-23,3.794,3.7655,3.8075,3.7595,48.35K,0.92%
06/30/2023,3.7595,3.6995,3.7705,3.6945,58.63K,1.64%
06/29/2023,3.699,3.729,3.752,3.683,75.09K,-1.16%
06/28/2023,3.7425,3.79,3.8,3.718,58.61K,-1.21%
06/27/2023,3.7885,3.8005,3.8465,3.7775,51.67K,-0.42%
06/26/2023,3.8045,3.8205,3.8495,3.785,51.83K,-0.29%
06/23/2023,3.8155,3.9005,3.9015,3.7975,44.54K,-2.18%
06/22/2023,3.9005,3.9045,3.964,3.8845,43.05K,-0.26%
06/21/2023,3.9105,3.8925,3.92,3.8535,46.04K,0.44%
06/20/2023,3.8935,3.887,3.907,3.849,43.54K,0.76%
06/19/2023,3.8643,3.8723,3.8878,3.8518,,-0.25%
06/18/2023,3.8738,3.8883,3.895,3.8725,,-0.63%
06/16/2023,3.8985,3.8945,3.9295,3.887,31.74K,-0.14%
06/15/2023,3.904,3.866,3.9055,3.819,37.03K,0.88%
06/14/2023,3.87,3.8285,3.874,3.798,89.72K,1.02%
06/13/2023,3.831,3.753,3.864,3.745,115.30K,2.11%
06-12-23,3.752,3.7715,3.778,3.735,78.65K,-0.98%
06-09-23,3.789,3.7875,3.8335,3.7695,84.55K,-0.16%
06-08-23,3.795,3.7535,3.797,3.7345,87.85K,1.04%
06-07-23,3.756,3.7665,3.8115,3.741,95.21K,-0.33%
06-06-23,3.7685,3.7625,3.78,3.718,62.02K,0.01%
06-05-23,3.768,3.728,3.7845,3.686,80.76K,1.09%
06-02-23,3.7275,3.7125,3.789,3.6925,82.61K,0.44%
06-01-23,3.711,3.667,3.7315,3.645,85.92K,2.03%
05/31/2023,3.637,3.662,3.6715,3.622,66.58K,-0.71%
05/30/2023,3.663,3.682,3.711,3.627,88.10K,-0.24%
05/29/2023,3.6717,3.6742,3.7105,3.6582,,-0.09%
05/28/2023,3.675,3.6715,3.6875,3.6715,,-0.01%
05/26/2023,3.6755,3.589,3.675,3.583,0.66K,2.60%
05/25/2023,3.5825,3.557,3.607,3.5405,0.93K,0.59%
05/24/2023,3.5615,3.6405,3.6475,3.545,102.90K,-2.54%
05/23/2023,3.6545,3.6805,3.705,3.622,69.19K,-0.83%
05/22/2023,3.685,3.7275,3.7375,3.6675,55.95K,-1.26%
05/19/2023,3.732,3.6975,3.7675,3.6765,59.32K,1.15%
05/18/2023,3.6895,3.746,3.7645,3.6805,60.35K,-1.73%
05/17/2023,3.7545,3.662,3.774,3.6525,82.45K,2.39%
05/16/2023,3.667,3.743,3.7545,3.657,74.94K,-2.24%
05/15/2023,3.751,3.7235,3.779,3.7005,59.89K,0.60%
05-12-23,3.7285,3.701,3.7515,3.677,,0.50%
05-11-23,3.71,3.852,3.8555,3.684,,-3.41%
05-10-23,3.841,3.9035,3.9185,3.8285,,-1.55%
05-09-23,3.9015,3.924,3.924,3.881,46.22K,-0.71%
05-08-23,3.9295,3.8925,3.9595,3.8765,40.07K,1.20%
05-05-23,3.883,3.861,3.906,3.825,59.64K,0.52%
05-04-23,3.863,3.855,3.9075,3.826,68.25K,0.47%
05-03-23,3.845,3.8685,3.872,3.83,51.30K,-0.45%
05-02-23,3.8625,3.9355,3.953,3.857,57.60K,-1.82%
05-01-23,3.934,3.895,4.005,3.8705,59.06K,1.12%
04/28/2023,3.8905,3.891,3.9185,3.857,58.93K,0.17%
04/27/2023,3.884,3.857,3.9,3.8165,81.38K,0.58%
04/26/2023,3.8615,3.866,3.9095,3.85,73.08K,-0.09%
04/25/2023,3.865,3.9735,3.985,3.8515,83.03K,-2.51%
04/24/2023,3.9645,3.99,4.0055,3.96,45.58K,-0.55%
04/21/2023,3.9865,4.0275,4.0395,3.9825,38.86K,-1.14%
04/20/2023,4.0325,4.076,4.083,4.016,31.53K,-1.19%
04/19/2023,4.081,4.0935,4.0975,4.031,28.54K,-0.38%
04/18/2023,4.0965,4.0785,4.109,4.065,24.78K,0.75%
04/17/2023,4.066,4.112,4.133,4.058,62.39K,-0.99%
04/14/2023,4.1065,4.1285,4.1955,4.095,101.54K,-0.42%
04/13/2023,4.124,4.07,4.143,4.0535,92.48K,1.05%
