Date,Price,Open,High,Low
1988-08-01,0.8655,0.8655,0.8655,0.8655
1988-08-02,0.86,0.86,0.86,0.86
1988-08-03,0.868,0.868,0.868,0.868
1988-08-04,0.878,0.878,0.878,0.878
1988-08-05,0.887,0.887,0.887,0.887
1988-08-08,0.871,0.871,0.871,0.871
1988-08-09,0.876,0.876,0.876,0.876
1988-08-10,0.8875,0.8875,0.8875,0.8875
1988-08-11,0.901,0.901,0.901,0.901
1988-08-12,0.8835,0.8835,0.8835,0.8835
1988-08-15,0.888,0.888,0.888,0.888
1988-08-16,0.888,0.888,0.888,0.888
1988-08-17,0.894,0.894,0.894,0.894
1988-08-18,0.917,0.917,0.917,0.917
1988-08-19,0.919,0.919,0.919,0.919
1988-08-22,0.935,0.935,0.935,0.935
1988-08-23,0.9265,0.9265,0.9265,0.9265
1988-08-24,0.933,0.933,0.933,0.933
1988-08-25,0.94,0.94,0.94,0.94
1988-08-26,0.947,0.947,0.947,0.947
1988-08-29,0.9465,0.9465,0.9465,0.9465
1988-08-30,0.947,0.947,0.947,0.947
1988-08-31,0.954,0.954,0.954,0.954
1988-09-01,0.933,0.933,0.933,0.933
1988-09-02,0.928,0.928,0.928,0.928
1988-09-06,0.926,0.926,0.926,0.926
1988-09-07,0.9315,0.9315,0.9315,0.9315
1988-09-08,0.9355,0.9355,0.9355,0.9355
1988-09-09,0.9485,0.9485,0.9485,0.9485
1988-09-12,0.948,0.948,0.948,0.948
1988-09-13,0.958,0.958,0.958,0.958
1988-09-14,0.957,0.957,0.957,0.957
1988-09-15,0.972,0.972,0.972,0.972
1988-09-16,0.956,0.956,0.956,0.956
1988-09-19,0.956,0.956,0.956,0.956
1988-09-20,0.953,0.953,0.953,0.953
1988-09-21,0.941,0.941,0.941,0.941
1988-09-22,0.961,0.961,0.961,0.961
1988-09-23,0.97,0.97,0.97,0.97
1988-09-26,0.9685,0.9685,0.9685,0.9685
1988-09-27,0.982,0.982,0.982,0.982
1988-09-28,0.973,0.973,0.973,0.973
1988-09-29,0.982,0.982,0.982,0.982
1988-09-30,0.9745,0.9745,0.9745,0.9745
1988-10-03,0.9875,0.9875,0.9875,0.9875
1988-10-04,0.9885,0.9885,0.9885,0.9885
1988-10-05,0.9915,0.9915,0.9915,0.9915
1988-10-06,1.0115,1.0115,1.0115,1.0115
1988-10-07,1.015,1.015,1.015,1.015
1988-10-10,1.0365,1.0365,1.0365,1.0365
1988-10-11,1.0505,1.0505,1.0505,1.0505
1988-10-12,1.0475,1.0475,1.0475,1.0475
1988-10-13,1.0525,1.0525,1.0525,1.0525
1988-10-14,1.0965,1.0965,1.0965,1.0965
1988-10-17,1.079,1.079,1.079,1.079
1988-10-18,1.1,1.103,1.103,1.103
1988-10-19,1.1255,1.1255,1.1255,1.1255
1988-10-20,1.149,1.149,1.149,1.149
1988-10-21,1.143,1.143,1.143,1.143
1988-10-24,1.11,1.11,1.11,1.11
1988-10-25,1.123,1.123,1.123,1.123
1988-10-26,1.107,1.107,1.107,1.107
1988-10-27,1.113,1.113,1.113,1.113
1988-10-28,1.133,1.133,1.133,1.133
1988-10-31,1.143,1.143,1.143,1.143
1988-11-01,1.1565,1.1565,1.1565,1.1565
1988-11-02,1.1705,1.1705,1.1705,1.1705
1988-11-03,1.1365,1.1365,1.1365,1.1365
1988-11-04,1.1395,1.1395,1.1395,1.1395
1988-11-07,1.1245,1.1245,1.1245,1.1245
1988-11-08,1.1405,1.1405,1.1405,1.1405
1988-11-09,1.1675,1.1675,1.1675,1.1675
1988-11-10,1.1075,1.1075,1.1075,1.1075
1988-11-11,1.1085,1.1085,1.1085,1.1085
1988-11-14,1.1225,1.1225,1.1225,1.1225
1988-11-15,1.0795,1.0795,1.0795,1.0795
1988-11-16,1.0855,1.0855,1.0855,1.0855
1988-11-17,1.1125,1.1125,1.1125,1.1125
1988-11-18,1.1225,1.1225,1.1225,1.1225
1988-11-21,1.1175,1.1175,1.1175,1.1175
1988-11-22,1.1375,1.1375,1.1375,1.1375
1988-11-23,1.2075,1.2075,1.2075,1.2075
1988-11-28,1.2375,1.2375,1.2375,1.2375
1988-11-29,1.2525,1.2525,1.2525,1.2525
1988-11-30,1.2675,1.2675,1.2675,1.2675
1988-12-01,1.2815,1.2815,1.2815,1.2815
1988-12-02,1.2645,1.2645,1.2645,1.2645
1988-12-05,1.2745,1.2745,1.2745,1.2745
1988-12-06,1.2875,1.2875,1.2875,1.2875
1988-12-07,1.413,1.413,1.413,1.413
1988-12-08,1.44,1.44,1.44,1.44
1988-12-09,1.431,1.431,1.431,1.431
1988-12-12,1.392,1.392,1.392,1.392
1988-12-13,1.3325,1.3325,1.3325,1.3325
1988-12-14,1.3695,1.3695,1.3695,1.3695
1988-12-15,1.3545,1.3545,1.3545,1.3545
1988-12-16,1.332,1.332,1.332,1.332
1988-12-19,1.3835,1.3835,1.3835,1.3835
